"sys_pk","sys_timestamp","sys_guid","sys_dtcreated","sys_user","sys_lastuser","sys_exported","sys_dtexported","sys_info","codigo","descripcion","tcambio","sys_recver","sys_deleted","sys_lock"
"91","2016-01-01 12:00:00","a699af09c08b4c4290d5105c696dfcb4","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MRO","Ouguiya mauritana","1.00000000","0",\N,\N
"92","2016-01-01 12:00:00","cea4ca1424f5445db27bbdbe8b554e78","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MUR","Rupia mauricia","1.00000000","0",\N,\N
"93","2016-01-01 12:00:00","96047b4773bf41a7bd92ba2d1ddc1148","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MVR","Rufiyaa maldiva","1.00000000","0",\N,\N
"94","2016-01-01 12:00:00","52b3453239f54e3eabfe8fe07ce24a0b","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MWK","Kwacha malauí","1.00000000","0",\N,\N
"95","2016-01-01 12:00:00","95e870b15c4c491687ba1e9bcc868a56","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MYR","Ringgit malayo","1.00000000","0",\N,\N
"96","2016-01-01 12:00:00","ca216cc16e1b4a5595b6425ad5f543ea","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"MZN","Metical mozambiqueño","1.00000000","0",\N,\N
"97","2016-01-01 12:00:00","6a17c0da8d0940ffa73b172ddff2d62b","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NAD","Dólar namibio","1.00000000","0",\N,\N
"98","2016-01-01 12:00:00","0b742e46e33945baa82fb54be5efd3d3","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NGN","Naira nigeriana","1.00000000","0",\N,\N
"99","2016-01-01 12:00:00","eb280419e07d49b39f5aee669b9cd225","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NIO","Córdoba nicaragüense","1.00000000","0",\N,\N
"100","2016-01-01 12:00:00","1b75c4a034614de8b2436fc9948602ee","2016-01-01 12:00:00",\N,\N,"0","2016-01-01 12:00:00",\N,"NOK","Corona noruega","1.00000000","0",\N,\N
